List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
"$184,900.00",1706 SW 12TH LN,CAPE CORAL,3 Bed/2(0),"1,326",51,"$177,500.00",09/27/19
"$177,500.00",928 SE 31ST ST,CAPE CORAL,3 Bed/2(0),"1,300",5,"$177,500.00",08/16/19
"$159,900.00",17830 PINEAPPLE PALM CT,NORTH FORT MYERS,2 Bed/2(0),"1,376",2,"$177,600.00",11/22/19
"$176,713.00",1103 W 11TH ST,LEHIGH ACRES,3 Bed/2(0),"1,417",73,"$177,900.00",11/22/19
"$177,990.00",2611 NE JUANITA PL,CAPE CORAL,3 Bed/2(0),"1,552",5,"$177,990.00",08/30/19
"$189,900.00",1514 NE 17TH ST,CAPE CORAL,3 Bed/2(0),"1,855",12,"$178,000.00",10/10/19
"$182,300.00",3012 SW 3RD PL,CAPE CORAL,3 Bed/2(0),"1,463",73,"$178,000.00",11/18/19
"$177,900.00",819 UNGER AVE,FORT MYERS,3 Bed/2(0),"1,458",7,"$178,000.00",08/23/19
"$174,900.00",1078 DARLINGTON ST,LEHIGH ACRES,3 Bed/2(0),"1,408",54,"$178,000.00",11/04/19
"$179,000.00",2417 HERB AVE S,LEHIGH ACRES,3+Den/2(0),"1,521",9,"$178,000.00",08/24/19
"$179,900.00",106 DIPLOMAT PKY E,CAPE CORAL,3 Bed/2(0),"1,580",40,"$178,500.00",10/11/19
"$175,000.00",2902 ALAN AVE S,LEHIGH ACRES,3+Den/2(0),"1,666",4,"$178,500.00",08/30/19
"$166,900.00",238 SW 46TH ST,CAPE CORAL,3 Bed/2(0),"1,590",16,"$178,875.00",11/21/19
"$179,000.00",11023 CHERRY ST,BONITA SPRINGS,2 Bed/1(0),810,13,"$179,000.00",08/30/19
"$185,000.00",1710 SE 11TH AVE,CAPE CORAL,3 Bed/2(0),"1,455",25,"$179,000.00",12/27/19
"$179,000.00",1707 NW 18TH TER,CAPE CORAL,3 Bed/2(0),"1,597",29,"$179,000.00",12/16/19
"$179,000.00",2514 NE 20TH PL,CAPE CORAL,3 Bed/2(0),"1,565",19,"$179,000.00",10/07/19
"$187,937.00",1009 SW 37TH TER,CAPE CORAL,3 Bed/2(0),"1,326",53,"$179,000.00",09/27/19
"$184,900.00",140 SE 23RD TER,CAPE CORAL,3 Bed/2(0),"1,216",3,"$179,000.00",08/01/19
"$174,900.00",2986 RENEE CT,FORT MYERS,3 Bed/1(0),"1,040",5,"$179,000.00",11/12/19
"$184,999.00",3824 HILLANDALE ST,FORT MYERS,3 Bed/2(0),"1,376",108,"$179,000.00",12/18/19
"$179,900.00",8173 ANHINGA RD,FORT MYERS,3 Bed/2(0),"1,032",19,"$179,000.00",08/15/19
"$179,000.00",217 S LAKE DR,LEHIGH ACRES,2 Bed/2(0),"1,319",18,"$179,000.00",12/19/19
"$182,500.00",104 ROOSEVELT AVE,LEHIGH ACRES,2 Bed/2(0),"1,493",32,"$179,000.00",12/02/19
"$182,900.00",1203 E 3RD ST,LEHIGH ACRES,3 Bed/2(0),"1,507",35,"$179,000.00",09/25/19
"$179,900.00",3731 SABAL SPRINGS BLVD,NORTH FORT MYERS,2 Bed/2(0),"1,576",3,"$179,000.00",10/15/19
"$179,500.00",13 LINCOLN AVE,LEHIGH ACRES,3 Bed/2(0),"2,001",26,"$179,500.00",09/10/19
"$179,900.00",4106 SE 3RD AVE,CAPE CORAL,3 Bed/2(0),"1,428",45,"$179,900.00",12/23/19
"$179,900.00",1910 SE 13TH ST,CAPE CORAL,3 Bed/2(0),"1,239",44,"$179,900.00",12/20/19
"$179,900.00",3734 PALM TREE BLVD,CAPE CORAL,2 Bed/1(1),"1,142",3,"$179,900.00",09/30/19
"$179,900.00",1858 DIPLOMAT PKY W,CAPE CORAL,3 Bed/2(0),"1,272",85,"$179,900.00",10/30/19
"$184,900.00",1207 SW 11TH PL,CAPE CORAL,3 Bed/2(0),"1,242",59,"$179,900.00",09/13/19
"$179,900.00",4146 MANNING AVE,FORT MYERS,3 Bed/2(0),"1,261",7,"$179,900.00",12/06/19
"$179,900.00",6022 JADESTONE AVE,FORT MYERS,3 Bed/2(0),"1,458",3,"$179,900.00",10/31/19
"$179,900.00",2125 CHANDLER AVE,FORT MYERS,2 Bed/2(0),"1,655",16,"$179,900.00",09/18/19
"$179,900.00",4105 20TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,497",8,"$179,900.00",11/22/19
"$173,000.00",1702 CONGRESS AVE,LEHIGH ACRES,3 Bed/2(0),"1,770",14,"$179,900.00",10/07/19
"$175,900.00",3004 E 5TH ST,LEHIGH ACRES,3 Bed/2(0),"1,424",58,"$179,900.00",10/01/19
"$174,900.00",602 8TH AVE,LEHIGH ACRES,3 Bed/2(0),"1,378",3,"$179,900.00",07/05/19
"$199,900.00",4850 LEMA CT,NORTH FORT MYERS,3 Bed/2(0),"2,944",15,"$179,900.00",10/28/19
"$179,990.00",29 NE 27TH TER,CAPE CORAL,3 Bed/2(0),"1,552",18,"$179,990.00",08/23/19
"$179,999.00",929 SW 37TH LN,CAPE CORAL,3 Bed/2(0),"1,288",71,"$179,999.00",11/27/19
"$179,999.00",628 TROPICANA PKY W,CAPE CORAL,3 Bed/2(0),"1,274",26,"$179,999.00",10/23/19
"$179,999.00",1623 NE 7TH PL,CAPE CORAL,3 Bed/2(0),"1,408",41,"$179,999.00",09/05/19
"$179,999.00",9029 MAYWOOD CIR W,LABELLE,3 Bed/2(0),"1,320",73,"$179,999.00",10/29/19
"$179,999.00",3503 6TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,430",52,"$179,999.00",12/02/19
"$189,000.00",2251 SUMMERSWEET DR,ALVA,3 Bed/2(0),"1,528",36,"$180,000.00",10/29/19
"$199,500.00",7092 SUNDIET BLVD,BOKEELIA,2 Bed/1(1),720,15,"$180,000.00",10/29/19
"$184,900.00",302 SE 1ST ST,CAPE CORAL,3 Bed/2(0),"1,431",3,"$180,000.00",12/27/19
"$189,900.00",600 NW 16TH TER,CAPE CORAL,3+Den/2(0),"1,458",5,"$180,000.00",12/13/19
"$182,000.00",1505 SE 13TH TER,CAPE CORAL,3 Bed/2(0),"1,335",9,"$180,000.00",10/15/19
"$174,900.00",2623 SE 17TH PL,CAPE CORAL,3 Bed/2(0),"1,589",7,"$180,000.00",10/09/19
"$189,800.00",2157 NW 22ND PL,CAPE CORAL,4 Bed/2(0),"1,734",22,"$180,000.00",09/19/19
"$200,000.00",414 SW 42ND TER,CAPE CORAL,3 Bed/2(0),"1,625",6,"$180,000.00",08/30/19
"$189,000.00",2635 SE 18TH PL,CAPE CORAL,3 Bed/2(0),"1,517",11,"$180,000.00",10/15/19
"$184,900.00",824 SE 5TH AVE,CAPE CORAL,3 Bed/2(0),"1,212",6,"$180,000.00",09/05/19
"$182,000.00",135 NE 23RD PL,CAPE CORAL,3 Bed/2(0),"1,144",27,"$180,000.00",09/30/19
"$179,900.00",1330 NE VAN LOON LN,CAPE CORAL,3 Bed/2(0),"1,205",57,"$180,000.00",11/06/19
"$183,000.00",1908 NE 5TH AVE,CAPE CORAL,3 Bed/2(0),"1,581",9,"$180,000.00",08/23/19
"$175,000.00",1108 NW 9TH PL,CAPE CORAL,3 Bed/2(0),"1,580",28,"$180,000.00",11/01/19
"$187,000.00",420 NW 31ST AVE,CAPE CORAL,3+Den/2(0),"1,458",27,"$180,000.00",08/14/19
"$187,000.00",1948 SE 8TH PL,CAPE CORAL,3 Bed/2(0),"1,285",2,"$180,000.00",07/30/19
"$184,900.00",4337 SW 9TH PL,CAPE CORAL,3 Bed/2(0),"1,460",104,"$180,000.00",10/30/19
"$190,900.00",2249 NW 5TH TER,CAPE CORAL,3+Den/2(0),"1,666",11,"$180,000.00",08/07/19
"$184,900.00",6104 BIXEL LN,ENGLEWOOD,3 Bed/2(0),"1,775",14,"$180,000.00",09/27/19
"$189,900.00",2939 HOLLY RD,FORT MYERS,3 Bed/2(0),"1,425",1,"$180,000.00",12/20/19
"$190,000.00",6069 LATIMER AVE,FORT MYERS,3 Bed/2(0),"1,422",12,"$180,000.00",12/20/19
"$189,900.00",89 BLACKSTONE DR,FORT MYERS,3 Bed/2(0),"1,272",7,"$180,000.00",11/13/19
