,,List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
,,"$170,000.00",3405 27TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,853",5,"$167,000.00",09/07/22
,,"$169,900.00",3310 3RD ST W,LEHIGH ACRES,3 Bed/2(0),"1,308",15,"$169,900.00",08/17/22
,,"$190,000.00",300 DELRAY AVE,FORT MYERS,3 Bed/2(0),"1,044",15,"$170,000.00",10/28/22
,,"$199,900.00",3720 LORA ST,FORT MYERS,3 Bed/1(0),816,74,"$170,000.00",11/25/22
,,"$170,000.00",1921 FLAMINGO DR,NORTH FORT MYERS,2 Bed/2(0),945,4,"$170,000.00",11/16/22
,,"$180,000.00",8919 ANDOVER ST,FORT MYERS,3 Bed/2(0),"1,084",0,"$171,000.00",09/08/22
,,"$180,000.00",1104 GULF ST,MOORE HAVEN,4 Bed/1(1),"1,240",15,"$172,000.00",11/07/22
,,"$169,900.00",4989 HOWARD ST,FORT MYERS,2 Bed/1(0),792,4,"$173,900.00",09/23/22
,,"$175,000.00",13813 5TH ST,FORT MYERS,3 Bed/1(0),982,0,"$175,000.00",12/20/22
,,"$199,000.00",4248 SCOTT AVE,FORT MYERS,2 Bed/1(0),591,8,"$175,000.00",08/31/22
,,"$190,000.00",204 E PENN RD,LEHIGH ACRES,2 Bed/1(0),984,28,"$175,000.00",08/31/22
,,"$169,900.00",701 E 16TH ST,LEHIGH ACRES,2 Bed/1(0),912,3,"$175,000.00",08/30/22
,,"$199,900.00",3822 20TH ST W,LEHIGH ACRES,2 Bed/2(0),984,16,"$175,000.00",11/15/22
,,"$215,000.00",20144 TAPPAN ZEE DR,PORT CHARLOTTE,2 Bed/1(1),912,22,"$175,000.00",09/19/22
,,"$164,000.00",4056 WOODSIDE AVE,FORT MYERS,3 Bed/2(0),"1,008",2,"$176,000.00",11/15/22
,,"$169,000.00",17343 EAST ST,NORTH FORT MYERS,2 Bed/1(0),640,14,"$177,000.00",12/14/22
,,"$179,900.00",866 CAYCE LN,FORT MYERS,2+Den/1(0),"1,047",8,"$179,900.00",08/19/22
,,"$250,000.00",320 W CRESCENT DR,CLEWISTON,3 Bed/2(0),"1,810",25,"$180,000.00",08/08/22
,,"$160,000.00",6478 ROYAL WOODS DR,FORT MYERS,2 Bed/2(0),"1,153",4,"$180,000.00",12/30/22
,,"$200,000.00",5631 MACKABOY CT,FORT MYERS,3 Bed/2(0),"1,525",1,"$180,000.00",11/04/22
,,"$189,900.00",2965 LAFAYETTE ST,FORT MYERS,2 Bed/1(0),"1,076",26,"$180,000.00",11/29/22
,,"$199,000.00",116 LAKE AVE,LEHIGH ACRES,2 Bed/2(0),998,4,"$180,000.00",11/08/22
,,"$240,000.00",1020 COLUMBUS AVE,LEHIGH ACRES,2 Bed/2(0),"1,276",8,"$180,000.00",09/27/22
,,"$199,900.00",3508 36TH ST SW,LEHIGH ACRES,2 Bed/2(0),"1,108",50,"$180,000.00",09/12/22
,,"$184,000.00",354 15TH LN SW,VERO BEACH,2 Bed/2(0),"1,036",73,"$180,000.00",11/23/22
,,"$180,000.00",1216 EIGHTH AVE,LEHIGH ACRES,2 Bed/1(1),910,11,"$182,000.00",09/20/22
,,"$199,900.00",212 FORT THOMPSON AVE,LABELLE,2 Bed/1(0),672,34,"$185,000.00",10/26/22
,,"$205,000.00",516 PENNVIEW AVE,LEHIGH ACRES,2 Bed/2(0),"1,096",2,"$185,000.00",12/28/22
,,"$199,900.00",206 STANFORD ST,LEHIGH ACRES,2 Bed/1(1),851,6,"$185,000.00",10/18/22
,,"$180,000.00",808 PALM BLVD,LEHIGH ACRES,2 Bed/1(0),920,16,"$185,000.00",09/07/22
,,"$185,000.00",4871 ORANGE GROVE BLVD,NORTH FORT MYERS,3 Bed/1(0),"1,228",2,"$185,000.00",12/12/22
